127.0.0.1 - - [30/Jan/2019:12:04:25 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:04:28 +0800] "GET /qincan-video-admin-mng/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:04:29 +0800] "GET /qincan-video-admin-mng/users/login.action HTTP/1.1" 200 10442
192.168.31.98 - - [30/Jan/2019:12:06:32 +0800] "GET /mvc/ HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:06:43 +0800] "GET /qincan-video-admin-mng/users/login.action HTTP/1.1" 200 10442
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:06:45 +0800] "POST /qincan-video-admin-mng/users/login.action HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:06:48 +0800] "GET /qincan-video-admin-mng/center.action HTTP/1.1" 200 22350
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:06:51 +0800] "GET /qincan-video-admin-mng/video/showAddBgm.action?_=1548821208579 HTTP/1.1" 200 6229
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:06:55 +0800] "POST /qincan-video-admin-mng/video/bgmUpload.action HTTP/1.1" 200 72
192.168.31.98 - - [30/Jan/2019:12:06:56 +0800] "GET /mvc/bgm/music.mp3 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "POST /qincan-video-admin-mng/users/login.action HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/center.action HTTP/1.1" 200 22350
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/clockface/css/clockface.css HTTP/1.1" 200 5861
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/bootstrap-select/css/bootstrap-select.min.css HTTP/1.1" 200 6437
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 26199
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 11764
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/all.css HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/Guriddo_jqGrid_JS_5.2.0/css/ui.jqgrid-bootstrap.css HTTP/1.1" 200 19220
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/jqvmap/jqvmap/jqvmap.css HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/bootstrap-daterangepicker/daterangepicker.min.css HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/morris/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/Guriddo_jqGrid_JS_5.2.0/css/ui.jqgrid-bootstrap-ui.css HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/jquery-multi-select/css/multi-select.css HTTP/1.1" 200 2425
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/bootstrap-modal/css/bootstrap-modal-bs3patch.css HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/css/components.css HTTP/1.1" 200 766790
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/pages/img/course/springboot.jpg HTTP/1.1" 200 4029
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/bootstrap-modal/css/bootstrap-modal.css HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/layouts/layout/css/themes/darkblue.css HTTP/1.1" 200 40853
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/layouts/layout/css/custom.css HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/layouts/layout/css/layout.css HTTP/1.1" 200 108698
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/pages/img/course/zookeeper.jpg HTTP/1.1" 200 47932
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/polaris/polaris.css HTTP/1.1" 200 1431
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/minimal/_all.css HTTP/1.1" 200 14474
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/futurico/futurico.css HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/flat/_all.css HTTP/1.1" 200 12513
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:41 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/square/_all.css HTTP/1.1" 200 14331
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:42 +0800] "GET /qincan-video-admin-mng/static/global/plugins/icheck/skins/line/_all.css HTTP/1.1" 200 20429
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:42 +0800] "GET /qincan-video-admin-mng/static/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.eot? HTTP/1.1" 200 35514
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:47 +0800] "GET /qincan-video-admin-mng/static/global/plugins/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 68875
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:17:49 +0800] "GET /qincan-video-admin-mng/video/showAddBgm.action?_=1548821862374 HTTP/1.1" 200 6229
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:18:00 +0800] "POST /qincan-video-admin-mng/video/bgmUpload.action HTTP/1.1" 200 72
192.168.31.98 - - [30/Jan/2019:12:18:01 +0800] "GET /mvc/bgm/music.mp3 HTTP/1.1" 404 1028
192.168.31.98 - - [30/Jan/2019:12:18:17 +0800] "GET / HTTP/1.1" 404 994
192.168.31.98 - - [30/Jan/2019:12:18:49 +0800] "GET / HTTP/1.1" 404 994
192.168.31.98 - - [30/Jan/2019:12:20:20 +0800] "GET /mvc/bgm/music.mp3 HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:21:09 +0800] "POST /qincan-video-admin-mng/video/bgmUpload.action HTTP/1.1" 200 81
192.168.31.98 - - [30/Jan/2019:12:21:12 +0800] "GET /mvc/bgm/music%E5%A5%BD%E6%AD%8C%E6%9B%B2.mp3 HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:21:15 +0800] "GET /qincan-video-admin-mng/center.action HTTP/1.1" 200 22350
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:21:18 +0800] "GET /qincan-video-admin-mng/video/showAddBgm.action?_=1548822075556 HTTP/1.1" 200 6229
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:21:24 +0800] "POST /qincan-video-admin-mng/video/bgmUpload.action HTTP/1.1" 200 81
192.168.31.98 - - [30/Jan/2019:12:21:29 +0800] "GET /mvc/bgm/music%E5%A5%BD%E6%AD%8C%E6%9B%B2.mp3 HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:21:49 +0800] "POST /qincan-video-admin-mng/video/addBgm.action HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [30/Jan/2019:12:21:52 +0800] "GET /qincan-video-admin-mng/video/showBgmList.action?_=1548822075557 HTTP/1.1" 200 878
